"","work","signature"
"101","_1834_628_NA_Пантеон дружбы на 1834 год. Собранный И. О-м","rsl"
"102","_1834_628_NA_Пантеон дружбы на 1834 год. Собранный И. О-м","fi_sl"
"103","_1841_643_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","nlr_1"
"104","_1841_643_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","rsl"
"105","_1841_643_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","us_harvard"
"106","_1841_643_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","cz_slk"
"107","_1841_643_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","ee_ester"
"108","_1841_643_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 1","fi_sl"
"109","_1841_644_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","nlr_1"
"110","_1841_644_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","rsl"
"111","_1841_644_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","us_harvard"
"112","_1841_644_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","cz_slk"
"113","_1841_644_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","ee_ester"
"114","_1841_644_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 2","fi_sl"
"115","_1842_645_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","nlr_1"
"116","_1842_645_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","rsl"
"117","_1842_645_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","us_harvard"
"118","_1842_645_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","cz_slk"
"119","_1842_645_NA_Русская беседа : Собр. соч. рус. литераторов, изд. в пользу А.Ф. Смирдина: В 3 т. Т. 3","fi_sl"
"120","_1844_647_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","nlr_1"
"121","_1844_647_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","rsl"
"122","_1844_647_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","cz_slk"
"123","_1844_647_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","ee_ester"
"124","_1844_647_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","fi_sl"
"125","_1845_649_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 1.","nlr_1"
"126","_1845_649_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 1.","rsl"
"127","_1845_649_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 1.","cz_slk"
"128","_1845_649_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 1.","fi_sl"
"129","_1846_650_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 2.","nlr_1"
"130","_1846_650_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 2.","rsl"
"131","_1846_650_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 2.","cz_slk"
"132","_1846_650_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 2.","fi_sl"
"133","_1849_653_NA_Сборник в пользу бедных семейств Басманного отделения на 1849 год : [Рассказы, стихотворения, статьи]","nlr_1"
"134","_1849_653_NA_Сборник в пользу бедных семейств Басманного отделения на 1849 год : [Рассказы, стихотворения, статьи]","rsl"
"135","_1849_653_NA_Сборник в пользу бедных семейств Басманного отделения на 1849 год : [Рассказы, стихотворения, статьи]","fi_sl"
"136","_1846_656_NA_Первое апреля : Комич. ил. альманах, сост. из рассказов в стихах и прозе, достопримечательных писем, куплетов, пародий, анекдотов и пуфов / Изд. Н.А. Некрасова.","nlr_1"
"137","_1846_656_NA_Первое апреля : Комич. ил. альманах, сост. из рассказов в стихах и прозе, достопримечательных писем, куплетов, пародий, анекдотов и пуфов / Изд. Н.А. Некрасова.","rsl"
"138","_1848_657_Ваненко И._Междуделье : Альм. разнообраз. ст. по смыслу и качеству, принадлежащих разн. неизвест. писателям и собр. воедино Иваном Ваненко","nlr_1"
"139","_1848_657_Ваненко И._Междуделье : Альм. разнообраз. ст. по смыслу и качеству, принадлежащих разн. неизвест. писателям и собр. воедино Иваном Ваненко","rsl"
"140","_1848_657_Ваненко И._Междуделье : Альм. разнообраз. ст. по смыслу и качеству, принадлежащих разн. неизвест. писателям и собр. воедино Иваном Ваненко","fi_sl"
"141","_1849_665_Фумели А._Литературные вечера / Изд. Николай Фумели. Вечер 1.","nlr_1"
"142","_1849_665_Фумели А._Литературные вечера / Изд. Николай Фумели. Вечер 1.","rsl"
"143","_1849_665_Фумели А._Литературные вечера / Изд. Николай Фумели. Вечер 1.","fi_sl"
"144","_1850_666_Фумели А._Литературные вечера / Изд. Николай Фумели. Вечер 2.","nlr_1"
"145","_1850_666_Фумели А._Литературные вечера / Изд. Николай Фумели. Вечер 2.","rsl"
"146","_1850_666_Фумели А._Литературные вечера / Изд. Николай Фумели. Вечер 2.","fi_sl"
"147","_1849_667_NA_Ярославский литературный сборник. 1849","nlr_1"
"148","_1849_667_NA_Ярославский литературный сборник. 1849","fi_sl"
"149","_1850_674_NA_На Новый год : Альманах в подарок читателям Москвитянина.","nlr_1"
"150","_1850_674_NA_На Новый год : Альманах в подарок читателям Москвитянина.","rsl"
"151","_1850_674_NA_На Новый год : Альманах в подарок читателям Москвитянина.","us_harvard"
"152","_1850_674_NA_На Новый год : Альманах в подарок читателям Москвитянина.","fi_sl"
"153","_1850_677_NA_Поэтические эскизы : Альм. стихотворений изд. Я.М. Позняковым и А.П. Пономаревым.","nlr_1"
"154","_1850_677_NA_Поэтические эскизы : Альм. стихотворений изд. Я.М. Позняковым и А.П. Пономаревым.","fi_sl"
"155","_1842_713_NA_Альбом избранных стихотворений / [Изд. шт.-кап. Милюковым]. [Ч. 1]","nlr_1"
"156","_1842_715_NA_Подземные ключи : [Сб. стихов и прозы] / Изд. кн. Н. Мансырев.","nlr_1"
"157","_1842_715_NA_Подземные ключи : [Сб. стихов и прозы] / Изд. кн. Н. Мансырев.","rsl"
"158","_1842_715_NA_Подземные ключи : [Сб. стихов и прозы] / Изд. кн. Н. Мансырев.","cz_slk"
"159","_1842_717_NA_Литературный кабинет. [Ч. 1. Ч. 2, Проза. Стихотворения] : Тр. артистов имп. моск. театров / [Соч.] П.С. Мочалова, Д.Т. Ленского, А.П. Славина [и др.].","nlr_1"
"160","_1842_717_NA_Литературный кабинет. [Ч. 1. Ч. 2, Проза. Стихотворения] : Тр. артистов имп. моск. театров / [Соч.] П.С. Мочалова, Д.Т. Ленского, А.П. Славина [и др.].","rsl"
"161","_1842_717_NA_Литературный кабинет. [Ч. 1. Ч. 2, Проза. Стихотворения] : Тр. артистов имп. моск. театров / [Соч.] П.С. Мочалова, Д.Т. Ленского, А.П. Славина [и др.].","cz_slk"
"162","_1845_735_NA_Новый гость : [Лит. сб.] / Изд. Александра и Карла Реймера. Визит 1-. Визит 1 : [Стихотворения. Проза. Драматические сочинения в стихах]","nlr_1"
"163","_1846_749_NA_Гирляндочка : [Стихотворения] : Подарок на 1846 год любителям и любительницам русского чтения.","nlr_1"
"164","_1846_749_NA_Гирляндочка : [Стихотворения] : Подарок на 1846 год любителям и любительницам русского чтения.","rsl"
"165","_1848_782_NA_Калейдоскоп : Этюды в стихах и прозе. Вып. 1","nlr_1"
"166","_1850_847_NA_Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 3. [На 1850 год]","nlr_1"
"167","_1850_847_NA_Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 3. [На 1850 год]","rsl"
"168","_1850_847_NA_Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 3. [На 1850 год]","cz_slk"
"169","_1841_848_NA_Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 2. [На 1841 год]","nlr_1"
"170","_1841_848_NA_Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 2. [На 1841 год]","rsl"
"171","_1841_848_NA_Киевлянин / Изд. Михаилом Максимовичем. Кн. 1. Кн. 2. [На 1841 год]","cz_slk"
"172","_1844_851_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","nlr_1"
