"","work","signature"
"209","1837_154_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","fi_sl"
"210","1837_156_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","nlr_1"
"211","1837_156_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","rsl"
"212","1837_156_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","roz_1"
"213","1837_156_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","us_harvard"
"214","1837_156_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","cz_slk"
"215","1837_156_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","fi_sl"
"216","1837_159_Скосырев К._Стихотворения Константина Скосырева","nlr_1"
"217","1837_159_Скосырев К._Стихотворения Константина Скосырева","roz_1"
"218","1837_160_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","nlr_1"
"219","1837_160_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","rsl"
"220","1837_160_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","roz_1"
"221","1837_160_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","us_harvard"
"222","1837_160_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","cz_slk"
"223","1837_160_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","fi_sl"
"224","1837_163_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","nlr_1"
"225","1837_163_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","rsl"
"226","1837_163_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","roz_1"
"227","1837_163_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","ee_ester"
"228","1837_163_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","fi_sl"
"229","1837_166_Якубович Л.А._Стихотворения Лукьяна Якубовича","nlr_1"
"230","1837_166_Якубович Л.А._Стихотворения Лукьяна Якубовича","roz_1"
"231","1837_166_Якубович Л.А._Стихотворения Лукьяна Якубовича","fi_sl"
"232","1837_170_Стромилов С._XII сонетов С. Стромилова","nlr_1"
"233","1837_170_Стромилов С._XII сонетов С. Стромилова","roz_1"
"234","1837_171_П. Гр…в_Звезда любви (L’etoile d’amour). Подарок прелестному полу","nlr_1"
"235","1837_171_П. Гр…в_Звезда любви (L’etoile d’amour). Подарок прелестному полу","rsl"
"236","1837_172_Громов И._Мой кальян: Стихотворения И. Громова","nlr_1"
"237","1837_172_Громов И._Мой кальян: Стихотворения И. Громова","us_harvard"
"238","1837_173_Пустельгин_Мои пенаты: Стихотворения Пустельгина","nlr_1"
"239","1837_174_Магденко А._Стихотворения Андрея Магденки. Издал И. Грен","nlr_1"
"240","1837_174_Магденко А._Стихотворения Андрея Магденки. Издал И. Грен","rsl"
"241","1837_175_NA_Стихотворения молодого Черкеса","nlr_1"
"242","1837_175_NA_Стихотворения молодого Черкеса","rsl"
"243","1837_178_Петров И.М._Стихотворения И. Петрова. Книга 1-я, содержащая эпиграммы","nlr_1"
"244","1837_178_Петров И.М._Стихотворения И. Петрова. Книга 1-я, содержащая эпиграммы","us_harvard"
"245","1837_180_Шаршавый_Цевница, на 1837 год. Соч. Шаршавого (Альманах)","nlr_1"
"246","1837_180_Шаршавый_Цевница, на 1837 год. Соч. Шаршавого (Альманах)","rsl"
"247","1837_180_Шаршавый_Цевница, на 1837 год. Соч. Шаршавого (Альманах)","us_harvard"
"248","1837_183_П. Ш._Рассказы из русской истории в стихах. Соч. П. Ш.","nlr_1"
"249","1837_183_П. Ш._Рассказы из русской истории в стихах. Соч. П. Ш.","fi_sl"
"250","1838_185_Аладьина Е.В._Сочинения Е.В.А…","nlr_1"
"251","1838_185_Аладьина Е.В._Сочинения Е.В.А…","rsl"
"252","1838_189_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","nlr_1"
"253","1838_189_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","rsl"
"254","1838_189_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","roz_1"
"255","1838_189_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","us_harvard"
"256","1838_189_Бенедиктов В._Стихотворения В. Бенедиктова. Кн. 2.","pl_buw"
"257","1838_190_Бестужев А.А. (Марлинский)_Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е","nlr_1"
"258","1838_190_Бестужев А.А. (Марлинский)_Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е","rsl"
"259","1838_190_Бестужев А.А. (Марлинский)_Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е","roz_1"
"260","1838_190_Бестужев А.А. (Марлинский)_Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е","us_harvard"
"261","1838_190_Бестужев А.А. (Марлинский)_Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е","cz_slk"
"262","1838_190_Бестужев А.А. (Марлинский)_Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е","pl_bn"
"263","1838_190_Бестужев А.А. (Марлинский)_Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е","pl_buw"
"264","1838_190_Бестужев А.А. (Марлинский)_Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е","ee_ester"
"265","1838_190_Бестужев А.А. (Марлинский)_Полное собрание сочинений А. Марлинского. Ч. 11. Стихотворения и полемические статьи / Изд. 3-е","fi_sl"
"266","1838_191_Бобылев Н.И._Невский альбом: Опыты в стихах и прозе","nlr_1"
"267","1838_191_Бобылев Н.И._Невский альбом: Опыты в стихах и прозе","rsl"
"268","1838_191_Бобылев Н.И._Невский альбом: Опыты в стихах и прозе","cz_slk"
"269","1838_192_Вердеревский А._Стихотворения Александра Вердеревского","nlr_1"
"270","1838_192_Вердеревский А._Стихотворения Александра Вердеревского","rsl"
"271","1838_192_Вердеревский А._Стихотворения Александра Вердеревского","fi_sl"
"272","1838_193_Веронов_Стихотворения Веронова","nlr_1"
"273","1838_193_Веронов_Стихотворения Веронова","rsl"
"274","1838_193_Веронов_Стихотворения Веронова","roz_1"
"275","1838_193_Веронов_Стихотворения Веронова","us_harvard"
"276","1838_195_Демидов М._Разные разности. Стихотворения М. Демидова","nlr_1"
"277","1838_195_Демидов М._Разные разности. Стихотворения М. Демидова","rsl"
"278","1838_195_Демидов М._Разные разности. Стихотворения М. Демидова","roz_1"
"279","1838_195_Демидов М._Разные разности. Стихотворения М. Демидова","us_harvard"
"280","1838_195_Демидов М._Разные разности. Стихотворения М. Демидова","fi_sl"
"281","1838_198_Долгоруков А.В._Поэзия Алексея Москвитянина","nlr_1"
"282","1838_198_Долгоруков А.В._Поэзия Алексея Москвитянина","rsl"
"283","1838_199_Карелин И.М._Весенние мечты: Стихотворения Ильи Карелина","nlr_1"
"284","1838_199_Карелин И.М._Весенние мечты: Стихотворения Ильи Карелина","rsl"
"285","1838_199_Карелин И.М._Весенние мечты: Стихотворения Ильи Карелина","us_harvard"
"286","1838_200_Краснов С._Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]","nlr_1"
"287","1838_200_Краснов С._Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]","roz_1"
"288","1838_200_Краснов С._Стихи. Поэт и Мулла. Соч. Стахия Краснова [от поручика Краснова. 18 стр]","cz_slk"
"289","1839_201_Леонов А._Стихотворения Алексея Леонова. 1834-1838","nlr_1"
"290","1838_202_Максимов М.И._Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова","nlr_1"
"291","1838_202_Максимов М.И._Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова","rsl"
"292","1838_202_Максимов М.И._Патриотические песни: С прил. нот для пения и фортепиано / Соч. Михаила Максимова","roz_1"
"293","1838_203_Марков М._Мечты и были: В 3 ч. Ч. 1. Стихотворения","nlr_1"
"294","1838_203_Марков М._Мечты и были: В 3 ч. Ч. 1. Стихотворения","rsl"
"295","1838_203_Марков М._Мечты и были: В 3 ч. Ч. 1. Стихотворения","cz_slk"
"296","1838_203_Марков М._Мечты и были: В 3 ч. Ч. 1. Стихотворения","fi_sl"
"297","1838_204_Онисимова Д.А._Стихи бедной девицы, слепой дочери деревенского пономаря, сообщенные в Императорскую Российскую Академию, и от ней изданные","nlr_1"
"298","1838_204_Онисимова Д.А._Стихи бедной девицы, слепой дочери деревенского пономаря, сообщенные в Императорскую Российскую Академию, и от ней изданные","rsl"
