"","work","collection"
"183","1839_290_Севастьянов В._Горка под каретой, или За женщин, карты и вино поссориться немудрено!!! / Соч. в стихах Владимира Севастьянова","nlr"
"184","1839_295_Глинка Ф.Н._1812 год : (Отр. из рассказа) : [В стихах]","nlr"
"185","1839_295_Глинка Ф.Н._1812 год : (Отр. из рассказа) : [В стихах]","rsl"
"186","1840_301_Колотенко Н._Граф Томский : Роман в стихах / Изд. Н. Колотенком.","nlr"
"187","1840_301_Колотенко Н._Граф Томский : Роман в стихах / Изд. Н. Колотенком.","rsl"
"188","1840_302_Федоров Н.Н._Писатель : Повесть в стихах : Гл. 1","nlr"
"189","1840_304_Анордист Н._Сказка о прекрасной царевне","nlr"
"190","1840_305_Дьячков С._Сказка о найденном алмазе","nlr"
"191","1840_310_Лизандер Д._Запорожцы : Поэма в 2 ч. / Соч. Д. фон-Лизандера","nlr"
"192","1840_310_Лизандер Д._Запорожцы : Поэма в 2 ч. / Соч. Д. фон-Лизандера","rozanov"
"193","1840_316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","nlr"
"194","1840_316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","rsl"
"195","1840_316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","rozanov"
"196","1840_316_Мятлев И.П._Сенсации и замечания госпожи Курдюковой за границею, дан лэтранже. Тамбов","pl_bn"
"197","1840_328_Н-в И._Леонид, или Ночная лампада : Стихотвор. рассказ","nlr"
"198","1840_328_Н-в И._Леонид, или Ночная лампада : Стихотвор. рассказ","rsl"
"199","1840_329_И. Д._Семь столов для бедных в богоблагословенной Москве : [В стихах] ","nlr"
"200","1840_330_NA_Донской козак : Воспоминание об отечеств. войне : [В стихах] / 2-е изд.","nlr"
"201","1840_332_Оранский Н.Д._Песнь русского барда","nlr"
"202","1840_332_Оранский Н.Д._Песнь русского барда","rsl"
"203","1840_332_Оранский Н.Д._Песнь русского барда","rozanov"
"204","1840_333_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","nlr"
"205","1840_333_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","rsl"
"206","1840_333_Васильев М._Провинциал в Москве, или послание к друзьям моим, в стихах. Соч. крестьянина Васильева","cz_slk"
"207","1841_343_Мысовский-Светогорский С._Поэма о Сотворении мира","nlr"
"208","1841_343_Мысовский-Светогорский С._Поэма о Сотворении мира","rsl"
"209","1841_347_Фукс А._Княжна Хабиба, повесть в стихах, взятая из татарских преданий Александрою Фукс","rozanov"
"210","1841_347_Фукс А._Княжна Хабиба, повесть в стихах, взятая из татарских преданий Александрою Фукс","cz_slk"
"211","1841_347_Фукс А._Княжна Хабиба, повесть в стихах, взятая из татарских преданий Александрою Фукс","fi_sl"
"212","1841_349_Алексеев П._Мель-дона : Повесть в стихах","nlr"
"213","1841_349_Алексеев П._Мель-дона : Повесть в стихах","pl_bn"
"214","1841_349_Алексеев П._Мель-дона : Повесть в стихах","pl_buw"
"215","1841_350_Я. А._Русская повесть в стихах, взятая из преданий XVI столетия","nlr"
"216","1841_351_Молчанов Н._Ангелина : Повесть в 3 ч. [в стихах]","nlr"
"217","1841_351_Молчанов Н._Ангелина : Повесть в 3 ч. [в стихах]","rsl"
"218","1841_358_NA_Баба-Яга, костяная нога : Русская, народная сказка, в стихах. В осьми главах","nlr"
"219","1841_358_NA_Баба-Яга, костяная нога : Русская, народная сказка, в стихах. В осьми главах","rsl"
"220","1841_359_Голодников К._Ковер самолет : Рус. сказка : В 3 ч.","nlr"
"221","1841_370_NA_Виолетта или Феины сказки : [В стихах]","nlr"
"222","1841_370_NA_Виолетта или Феины сказки : [В стихах]","rsl"
"223","1841_374_К. Е…._Месть за месть : (Древнее рус. нар. предание) : Повесть в стихах / Соч. К.Е....... ","nlr"
"224","1841_374_К. Е…._Месть за месть : (Древнее рус. нар. предание) : Повесть в стихах / Соч. К.Е....... ","rsl"
"225","1841_376_Орлов А._Малолеток, кормилец престарелого, обнищавшего отца своего, или Чистое родительское благословение : [В стихах] / Соч. Александра Орлова","nlr"
"226","1841_377_Орлов А._Погребение купца, или Два, одно другому противные завещания для наследников : [В стихах] / Соч. Александра Орлова","nlr"
"227","1841_377_Орлов А._Погребение купца, или Два, одно другому противные завещания для наследников : [В стихах] / Соч. Александра Орлова","rsl"
"228","1841_377_Орлов А._Погребение купца, или Два, одно другому противные завещания для наследников : [В стихах] / Соч. Александра Орлова","rozanov"
"229","1842_389_Горев М._Багир хан : Татар. предание [в стихах]","nlr"
"230","1842_389_Горев М._Багир хан : Татар. предание [в стихах]","lt_vul"
"231","1842_390_Зотов В._Последний хеак : Поэма","nlr"
"232","1842_390_Зотов В._Последний хеак : Поэма","fi_sl"
"233","1842_399_И.Ф. До…ча…ва_Ролланд и Шарлота : Роман в стихах","nlr"
"234","1842_403_Алипанов Е._Духовная повесть / 2-е изд.","nlr"
"235","1842_410_NA_Мечта : Рассказ в стихах.","nlr"
"236","1843_431_Дьячков С._Кошка-вор : Забавная быль в стихах / Соч. Семена Дьячкова. ","nlr"
"237","1843_432_Куражсковский М._Бедокур : Рус. сказка / Соч. Михаила Куражсковского.","nlr"
"238","1843_432_Куражсковский М._Бедокур : Рус. сказка / Соч. Михаила Куражсковского.","rsl"
"239","1843_443_NA_Волшебный замок или Сказка о знаменитом рыцаре Родриге и о волшебнике Роасе, продавшем душу свою демону.","nlr"
"240","1843_444_Т. Л._Параша : Рассказ в стихах Т.Л. : Писано в нач. 1843 г.","nlr"
"241","1843_444_Т. Л._Параша : Рассказ в стихах Т.Л. : Писано в нач. 1843 г.","rsl"
"242","1843_447_NA_Исповедь : [Отрывки из поэмы].","nlr"
"243","1843_451_Гребенка Е._Богдан : Сцены из жизни малороссийск. гетмана Зиновия Хмельницкого : [В стихах] / Соч. Е. Гребенка","nlr"
"244","1844_458_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","nlr"
"245","1844_458_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","rsl"
"246","1844_458_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","rozanov"
"247","1844_458_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","us_harvard"
"248","1844_458_Жуковский В.А._Наль и Дамаянти, индейская повесть В.А. Жуковского / Рис. по распоряжению автора вып. г. Майделем","cz_slk"
"249","1844_463_Потапов В._Мужичок с ноготок, борода с локоток : Рус. сказка в 2 ч. (в стихах) / Соч. Василия Потапова.","nlr"
"250","1844_463_Потапов В._Мужичок с ноготок, борода с локоток : Рус. сказка в 2 ч. (в стихах) / Соч. Василия Потапова.","rozanov"
"251","1844_463_Потапов В._Мужичок с ноготок, борода с локоток : Рус. сказка в 2 ч. (в стихах) / Соч. Василия Потапова.","fi_sl"
"252","1844_468_NA_Горный охотник : Поэма [в стихах].","nlr"
"253","1844_468_NA_Горный охотник : Поэма [в стихах].","rsl"
"254","1844_468_NA_Горный охотник : Поэма [в стихах].","rozanov"
"255","1844_468_NA_Горный охотник : Поэма [в стихах].","fi_sl"
"256","1844_469_Григорий Коб…ов_Король Энцио : Повесть в стихах, Григория Коб...ова.","nlr"
"257","1844_469_Григорий Коб…ов_Король Энцио : Повесть в стихах, Григория Коб...ова.","rsl"
"258","1844_474_NA_Наказанный колдун : Сказка в стихах.","nlr"
"259","1844_475_Бенкен И.Ф._Сказка о царе-горбуне и о колдунье Чертоухе / Соч. И.Ф. Бенкен.","nlr"
"260","1844_480_NA_Убиение страшного змея Георгием Победоносцем и обращение жителей города Вирита к истинному богу : В 4 песнях.","nlr"
"261","1844_484_Трегубов Е._Очерки картин из русской истории и народного предания : Стихотворение Е. Трегубова : В 3 [!4] отд-ниях","nlr"
"262","1844_484_Трегубов Е._Очерки картин из русской истории и народного предания : Стихотворение Е. Трегубова : В 3 [!4] отд-ниях","rsl"
"263","1844_485_Гончаровский Е._Москва и Кавказ : Повествоват. рассказ : Стихотворение Е... Гончаровского.","nlr"
"264","1844_485_Гончаровский Е._Москва и Кавказ : Повествоват. рассказ : Стихотворение Е... Гончаровского.","rsl"
"265","1844_486_NA_Тетушкины мемуары : [В стихах]","nlr"
"266","1844_486_NA_Тетушкины мемуары : [В стихах]","rsl"
"267","1844_487_С. С._Вечер в клубе : Шуточ. рассказ в стихах / Соч. С. С. - 2-е изд. с доп. [С изд. 1839 г.]","nlr"
"268","1844_487_С. С._Вечер в клубе : Шуточ. рассказ в стихах / Соч. С. С. - 2-е изд. с доп. [С изд. 1839 г.]","rsl"
"269","1844_488_NA_Записки молодого человека : В стихах. Кн. 1","nlr"
"270","1844_489_Мятлев И._Тарантелла","nlr"
"271","1844_489_Мятлев И._Тарантелла","rsl"
"272","1844_491_Зотов В._Шкипер : Ист. сцены 1713 г., в стихах / Соч. В. Зотова","nlr"
"273","1844_491_Зотов В._Шкипер : Ист. сцены 1713 г., в стихах / Соч. В. Зотова","rsl"
"274","1844_492_Пальмов Ф._Иван Болван : [Повесть в стихах] : В 3 ч / Соч. Федора Пальмова.","nlr"
"275","1845_501_Майков А._Две судьбы : Быль","nlr"
"276","1845_501_Майков А._Две судьбы : Быль","rsl"
"277","1845_501_Майков А._Две судьбы : Быль","rozanov"
"278","1845_501_Майков А._Две судьбы : Быль","us_harvard"
"279","1845_501_Майков А._Две судьбы : Быль","fi_sl"
"280","1845_506_Варвара Лизо…б_Зюлейка : Повесть в стихах / Соч. Варвары Лизо..б","nlr"
"281","1845_506_Варвара Лизо…б_Зюлейка : Повесть в стихах / Соч. Варвары Лизо..б","rsl"
"282","1845_507_Сергиевский Д._Пан Дольский, или Свидание с дочерью : Повесть в стихах / Соч. Д. Сергиевского","nlr"
"283","1845_507_Сергиевский Д._Пан Дольский, или Свидание с дочерью : Повесть в стихах / Соч. Д. Сергиевского","cz_slk"
"284","1845_507_Сергиевский Д._Пан Дольский, или Свидание с дочерью : Повесть в стихах / Соч. Д. Сергиевского","fi_sl"
"285","1845_510_Поспелов А._Старик колдун, по прозванью Чортов-Ум : Новейшая нар. рус. сказка [в стихах] Алексея Поспелова","nlr"
"286","1845_511_Щираго И.М._Жизнь без горя и печали : Солдатск. сказка Ивана Меркулыча Щираго","nlr"
"287","1845_511_Щираго И.М._Жизнь без горя и печали : Солдатск. сказка Ивана Меркулыча Щираго","rsl"
"288","1845_514_Телегин В._Сказка о царевиче Емельяне Емельяновиче, сынке Емелюшки : В стихах / Соч. штабс-кап. Телегина.","nlr"
"289","1845_517_Телегин В._Омирова Ватрахомиомахия, или Война лягушек и мышей, переложенная в стихи штабс-капитаном Телегиным.","nlr"
"290","1845_517_Телегин В._Омирова Ватрахомиомахия, или Война лягушек и мышей, переложенная в стихи штабс-капитаном Телегиным.","rsl"
"291","1845_518_М. С._Смоленский рынок в Москве : Картина прошедшего времени / Соч. [в стихах] М.С... 1845","nlr"
"292","1845_519_Иверсен А._Старина : Рассказ в стихах / Соч. А. Иверсена","nlr"
"293","1845_520_Бутович А._Эрнест : Повесть в стихах / Соч. А. Бутовича","nlr"
"294","1845_521_Потапов В._Кот в сапогах : Рус. нар. сказка в 3 ч. (в стихах) / Соч. В.Ф. Потапова, авт. сказки Мужичок с ноготок, борода с локоток","nlr"
"295","1845_528_Кузмичев Ф._Спасенная Ниневия пророчеством Ионы : Поэма в 4 песнях / Соч. авт. Сына природы, Федота Кузмичева. / 3-е изд., [печ. с изд. 1841 г. без перемены]","nlr"
"296","1845_528_Кузмичев Ф._Спасенная Ниневия пророчеством Ионы : Поэма в 4 песнях / Соч. авт. Сына природы, Федота Кузмичева. / 3-е изд., [печ. с изд. 1841 г. без перемены]","rsl"
"297","1845_531_Языков Н._Отрок Вячко : [Поэма] ","nlr"
"298","1846_542_Потапов В._Кузнецкий мост : (В стихах) / Соч. Василия Потапова","nlr"
"299","1846_542_Потапов В._Кузнецкий мост : (В стихах) / Соч. Василия Потапова","rsl"
"300","1846_542_Потапов В._Кузнецкий мост : (В стихах) / Соч. Василия Потапова","rozanov"
"301","1846_545_Ваненко И._Бричка, или Обратный путь с Парнаса : (Басни иного манера и комедия на другую стать) / Соч. писателя, желающего остаться неизвестным; Обнаружены читающей публике Иваном Ваненко","nlr"
"302","1846_545_Ваненко И._Бричка, или Обратный путь с Парнаса : (Басни иного манера и комедия на другую стать) / Соч. писателя, желающего остаться неизвестным; Обнаружены читающей публике Иваном Ваненко","rsl"
"303","1846_550_Н. Авораж_Сказка о заколдованном царе / Соч. Н. Авораж","nlr"
