"","work","collection"
"133","1843_457_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1843 год. 5-й год","nlr"
"134","1843_457_Владиславлев В. (изд.)_Утренняя заря Альманах Владиславлева на 1843 год. 5-й год","rsl"
"135","1844_490_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","nlr"
"136","1844_490_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","rsl"
"137","1844_490_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","cz_slk"
"138","1844_490_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","ee_ester"
"139","1844_490_NA_Литературный вечер : [Сб. рассказов и стихов в память В.В. Пассека]","fi_sl"
"140","1844_494_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","nlr"
"141","1844_494_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","rsl"
"142","1844_494_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","us_harvard"
"143","1844_494_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","lt_vul"
"144","1844_494_NA_Архангельский историческо-литературный сборник, изданный Флегонтом Вальневым.","ee_ester"
"145","1844_495_NA_Золотые цветки, или Собрание басен, мыслей и других мелких стихотворений / [Изд. К. Шрейдер]","rsl"
"146","1844_496_NA_Дамский альбом, составленный из отборных страниц русской поэзии : Заимствовано у Державина [и др.] / С портр. Лермонтова и ориг. рис. Е. Ковригина.","rsl"
"147","1844_496_NA_Дамский альбом, составленный из отборных страниц русской поэзии : Заимствовано у Державина [и др.] / С портр. Лермонтова и ориг. рис. Е. Ковригина.","us_harvard"
"148","1844_496_NA_Дамский альбом, составленный из отборных страниц русской поэзии : Заимствовано у Державина [и др.] / С портр. Лермонтова и ориг. рис. Е. Ковригина.","pl_bn"
"149","1845_532_NA_Метеор : [Сб. стихотворений] : На 1845 год. ","nlr"
"150","1845_532_NA_Метеор : [Сб. стихотворений] : На 1845 год. ","rsl"
"151","1845_532_NA_Метеор : [Сб. стихотворений] : На 1845 год. ","fi_sl"
"152","1845_533_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 1.","nlr"
"153","1845_533_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 1.","rsl"
"154","1845_533_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 1.","cz_slk"
"155","1845_533_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 1.","fi_sl"
"156","1846_563_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 2.","nlr"
"157","1846_563_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 2.","rsl"
"158","1846_563_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 2.","cz_slk"
"159","1846_563_NA_Вчера и сегодня [Текст] : литературный сборник, составленный гр. В. А. Соллогубом, изданный А. Смирдиным. Кн. 2.","fi_sl"
"160","1846_565_NA_Первое апреля : Комич. ил. альманах, сост. из рассказов в стихах и прозе, достопримечательных писем, куплетов, пародий, анекдотов и пуфов / Изд. Н.А. Некрасова.","nlr"
"161","1846_565_NA_Первое апреля : Комич. ил. альманах, сост. из рассказов в стихах и прозе, достопримечательных писем, куплетов, пародий, анекдотов и пуфов / Изд. Н.А. Некрасова.","rsl"
"162","1846_575_NA_Гирляндочка : [Стихотворения] : Подарок на 1846 год любителям и любительницам русского чтения.","nlr"
"163","1846_575_NA_Гирляндочка : [Стихотворения] : Подарок на 1846 год любителям и любительницам русского чтения.","rsl"
"164","1846_576_NA_Новоселье: [альманах]. Часть 3","us_harvard"
"165","1846_576_NA_Новоселье: [альманах]. Часть 3","cz_slk"
"166","1846_576_NA_Новоселье: [альманах]. Часть 3","ee_ester"
"167","1846_577_Аладьин Е. (изд.)_Невский альманах... издаваемый Е. Аладьиным. ... на 1846 год : [стихи и проза / издатель Е.В. Аладьин]","nlr"
"168","1846_577_Аладьин Е. (изд.)_Невский альманах... издаваемый Е. Аладьиным. ... на 1846 год : [стихи и проза / издатель Е.В. Аладьин]","us_harvard"
"169","1846_577_Аладьин Е. (изд.)_Невский альманах... издаваемый Е. Аладьиным. ... на 1846 год : [стихи и проза / издатель Е.В. Аладьин]","cz_slk"
