"","work","collection"
"174","1836_130_Тростин Х._Стихотворения Христофора Тростина","rsl"
"175","1836_130_Тростин Х._Стихотворения Христофора Тростина","rozanov"
"176","1836_134_NA_Мечты при луне. Стихотворения","nlr"
"177","1836_140_А. Ф. Ф._Роза и Василек. Соч. А.Ф.Ф.","nlr"
"178","1836_145_NA_Рукописи из зеленого портфеля","nlr"
"179","1836_145_NA_Рукописи из зеленого портфеля","cz_slk"
"180","1836_145_NA_Рукописи из зеленого портфеля","fi_sl"
"181","1837_154_Бахтурин К.А._Стихотворения Константина Бахтурина","nlr"
"182","1837_154_Бахтурин К.А._Стихотворения Константина Бахтурина","rsl"
"183","1837_154_Бахтурин К.А._Стихотворения Константина Бахтурина","rozanov"
"184","1837_154_Бахтурин К.А._Стихотворения Константина Бахтурина","us_harvard"
"185","1837_155_Бернет Е._Стихи Е. Бернета","nlr"
"186","1837_155_Бернет Е._Стихи Е. Бернета","rsl"
"187","1837_155_Бернет Е._Стихи Е. Бернета","rozanov"
"188","1837_155_Бернет Е._Стихи Е. Бернета","fi_sl"
"189","1837_155_Бернет Е._Стихи Е. Бернета","spbgu"
"190","1837_156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","nlr"
"191","1837_156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","rsl"
"192","1837_156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","rozanov"
"193","1837_156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","us_harvard"
"194","1837_156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","cz_slk"
"195","1837_156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","fi_sl"
"196","1837_156_Бороздна И.П._Поэтические очерки Украины, Одессы и Крыма: Письма в стихах к гр. В.П. З[авадскому], Ивана Бороздны","spbgu"
"197","1837_157_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","nlr"
"198","1837_157_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","rsl"
"199","1837_157_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","rozanov"
"200","1837_157_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","us_harvard"
"201","1837_157_Бутырский Н.И._И моя доля в сонетах. В 2 ч. Соч. Бутырского","spbgu"
"202","1837_158_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","nlr"
"203","1837_158_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","rsl"
"204","1837_158_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","cz_slk"
"205","1837_158_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","pl_buw"
"206","1837_158_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 1","spbgu"
"207","1837_159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","nlr"
"208","1837_159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","rsl"
"209","1837_159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","us_harvard"
"210","1837_159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","cz_slk"
"211","1837_159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","pl_buw"
"212","1837_159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","fi_sl"
"213","1837_159_Быстроглазов А._Стихотворения А. Быстроглазова. В 2 ч. Ч. 2","spbgu"
"214","1837_162_Дьячков С._Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым","nlr"
"215","1837_162_Дьячков С._Букет цветов или разные стихотворения, элегические романсы и песни для прекрасных девиц. Соч. С. Дьячковым","rsl"
"216","1837_164_Кашаев В._Стихотворения Виктора Кашаева","nlr"
"217","1837_164_Кашаев В._Стихотворения Виктора Кашаева","rsl"
"218","1837_164_Кашаев В._Стихотворения Виктора Кашаева","rozanov"
"219","1837_164_Кашаев В._Стихотворения Виктора Кашаева","us_harvard"
"220","1837_165_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","nlr"
"221","1837_165_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","rsl"
"222","1837_165_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","us_harvard"
"223","1837_165_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","cz_slk"
"224","1837_165_Мартынов А._Поэтические произведения А. Мартынова. В 3-х кн.","fi_sl"
"225","1837_166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","nlr"
"226","1837_166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","rsl"
"227","1837_166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","rozanov"
"228","1837_166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","us_harvard"
"229","1837_166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","cz_slk"
"230","1837_166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","fi_sl"
"231","1837_166_Подолинский А._Повести и мелкие стихотворения А. Подолинского. Ч. 2. Мелкие стихотворения","spbgu"
"232","1837_169_Скосырев К._Стихотворения Константина Скосырева","nlr"
"233","1837_169_Скосырев К._Стихотворения Константина Скосырева","rozanov"
"234","1837_170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","nlr"
"235","1837_170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","rsl"
"236","1837_170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","rozanov"
"237","1837_170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","us_harvard"
"238","1837_170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","cz_slk"
"239","1837_170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","fi_sl"
"240","1837_170_Смирнова А._Собрание различных стихотворений. Соч. Анны Смирновой. Изд. 1-е","spbgu"
"241","1837_172_Тимофеев А.В._Опыты. В 3 ч. Ч. 1. [Стихотворения]","nlr"
